date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:15:33	46/46	---MCZ	200	added ('OK')	text/plain	etag:W/%22592b3107-1a%22	https://preview.uideck.com/robots.txt		(from )
21:15:34	25317/25317	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Nov%202019%2018:18:08%20GMT	https://preview.uideck.com/items/core/	/home/parth/websites/parth1/preview.uideck.com/items/core/index.html	(from )
21:15:35	502/502	---M--	200	added ('OK')	image/png	etag:%225dc9a5fb-1f6%22	https://preview.uideck.com/items/core/assets/images/favicon.png	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/favicon.png	(from https://preview.uideck.com/items/core/)
21:15:36	77875/77875	---MCZ	200	added ('OK')	text/css	etag:W/%225dc9a5e8-13033%22	https://preview.uideck.com/items/core/assets/css/animate.css	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/css/animate.css	(from https://preview.uideck.com/items/core/)
21:15:38	1776/1776	---MCZ	200	added ('OK')	text/css	etag:W/%225dc9a5e6-6f0%22	https://preview.uideck.com/items/core/assets/css/slick.css	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/css/slick.css	(from https://preview.uideck.com/items/core/)
21:15:38	31420/31420	---MCZ	200	added ('OK')	text/css	etag:W/%225dc9a5e8-7abc%22	https://preview.uideck.com/items/core/assets/css/LineIcons.css	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/css/LineIcons.css	(from https://preview.uideck.com/items/core/)
21:15:39	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225dc9a5eb-7918%22	https://preview.uideck.com/items/core/assets/css/font-awesome.min.css	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/css/font-awesome.min.css	(from https://preview.uideck.com/items/core/)
21:15:41	155758/155758	---MCZ	200	added ('OK')	text/css	etag:W/%225dc9a5e5-2606e%22	https://preview.uideck.com/items/core/assets/css/bootstrap.min.css	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/css/bootstrap.min.css	(from https://preview.uideck.com/items/core/)
21:15:41	11304/11304	---MCZ	200	added ('OK')	text/css	etag:W/%225dc9a5e9-2c28%22	https://preview.uideck.com/items/core/assets/css/default.css	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/css/default.css	(from https://preview.uideck.com/items/core/)
21:15:43	58647/58647	---MCZ	200	added ('OK')	text/css	etag:W/%225dc9a5e9-e517%22	https://preview.uideck.com/items/core/assets/css/style.css	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/css/style.css	(from https://preview.uideck.com/items/core/)
21:15:43	25317/25317	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Nov%202019%2018:18:08%20GMT	https://preview.uideck.com/items/core/index.html	/home/parth/websites/parth1/preview.uideck.com/items/core/index-2.html	(from https://preview.uideck.com/items/core/)
21:15:44	603/603	---M--	200	added ('OK')	image/png	etag:%225dc9a5fc-25b%22	https://preview.uideck.com/items/core/assets/images/logo.png	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/logo.png	(from https://preview.uideck.com/items/core/)
21:15:46	257/257	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225dc9a5f1-101%22	https://preview.uideck.com/items/core/assets/images/shape-1.svg	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/shape-1.svg	(from https://preview.uideck.com/items/core/)
21:15:47	259/259	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225dc9a5ed-103%22	https://preview.uideck.com/items/core/assets/images/shape-2.svg	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/shape-2.svg	(from https://preview.uideck.com/items/core/)
21:15:48	516/516	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225dc9a5ee-204%22	https://preview.uideck.com/items/core/assets/images/shape-3.svg	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/shape-3.svg	(from https://preview.uideck.com/items/core/)
21:15:49	16146/16146	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225dc9a5ee-3f12%22	https://preview.uideck.com/items/core/assets/images/banner.svg	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/banner.svg	(from https://preview.uideck.com/items/core/)
21:15:50	3427/3427	---M--	200	added ('OK')	image/png	etag:%225dc9a5f5-d63%22	https://preview.uideck.com/items/core/assets/images/brand-1.png	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/brand-1.png	(from https://preview.uideck.com/items/core/)
21:15:51	3174/3174	---M--	200	added ('OK')	image/png	etag:%225dc9a5fa-c66%22	https://preview.uideck.com/items/core/assets/images/brand-2.png	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/brand-2.png	(from https://preview.uideck.com/items/core/)
